row_uid,case_uid,seed,method,part,edit,part_size,footprint_change,source_prompt,target_prompt,source_image,gt_mask,edited_image,available,reason,image_sha256,strict_outside_mask_l1_aux,strict_inside_mask_l1_aux,strict_outside_mask_mse,strict_inside_mask_mse,strict_outside_mask_psnr,strict_inside_mask_psnr,strict_outside_mask_global_ssim,strict_inside_mask_global_ssim,strict_outside_mask_lpips,buffered_outside_mask_l1_aux,buffered_inside_mask_l1_aux,buffered_outside_mask_mse,buffered_inside_mask_mse,buffered_outside_mask_psnr,buffered_inside_mask_psnr,buffered_outside_mask_global_ssim,buffered_inside_mask_global_ssim,buffered_outside_mask_lpips
gt-diagnostic-v2::endpoint_auto::synth_0000::seed_000,synth_0000,0,endpoint_auto,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0000/seed_000/img_0.jpg,True,,f75ab332592a27e58409887810e69be6dd1925e80e095f0d4fb42db425adc6f9,0.031055297702550888,0.07225107401609421,0.0032742060720920563,0.010598455555737019,24.848939904231475,19.747574170456268,0.9565192412246596,0.937840194554996,0.17505061626434326,0.029938559979200363,0.06006019935011864,0.0028670646715909243,0.011815715581178665,25.42562510681593,19.275399715731638,0.9593721598772798,0.9162395788854639,0.16433082520961761
gt-diagnostic-v2::endpoint_gt::synth_0000::seed_000,synth_0000,0,endpoint_gt,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0000/seed_000/img_0.jpg,True,,a257c0a33f1eafb8268dda6b8d814b0b829c43565a3bb44a6896a2bd181c19f8,0.02394513599574566,0.07147703319787979,0.0014854851178824902,0.009924853220582008,28.281316947548905,20.032759073318655,0.9804796944701635,0.9447245457696352,0.12913237512111664,0.02331533469259739,0.046723395586013794,0.0012738830409944057,0.007148832082748413,28.94870444043425,21.457649038560017,0.9823140733860133,0.9452998312237645,0.12127600610256195
gt-diagnostic-v2::rk2_auto::synth_0000::seed_000,synth_0000,0,rk2_auto,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0000/seed_000/img_0.jpg,True,,74649f30ce1c031a7a4761dff8cdd7310630961c876c71b1279200ec51698e35,0.030753478407859802,0.07156026363372803,0.0031762728467583656,0.010468555614352226,24.98082198073679,19.80113235416598,0.9578440467035717,0.9385855226287417,0.17361465096473694,0.02963649109005928,0.05966000258922577,0.0027704930398613214,0.011687236838042736,25.574429365539302,19.322881550347294,0.9607638950159536,0.916916744957132,0.16290122270584106
gt-diagnostic-v2::rk2_gt::synth_0000::seed_000,synth_0000,0,rk2_gt,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0000/seed_000/img_0.jpg,True,,9581d56bbfd0e558ca7c804b91f0a49b8be73d55d171a46ff85d03d5aaf58d95,0.023873666301369667,0.07056873291730881,0.0014698405284434557,0.00974188931286335,28.327297818327576,20.113568091807707,0.9806910993837341,0.9460653817189186,0.1284240186214447,0.023267915472388268,0.04604059457778931,0.0012678354978561401,0.006933250930160284,28.96937092675088,21.59063081409211,0.9823914276705453,0.9467465413428141,0.12046760320663452
gt-diagnostic-v2::rk2_n15_auto::synth_0000::seed_000,synth_0000,0,rk2_n15_auto,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0000/seed_000/img_0.jpg,True,,67bb0dce9fdd881da0dc43a17b8550f7e89a1189a5f7d68aec0df54c691ba8f1,0.01629493199288845,0.056494906544685364,0.0018617035821080208,0.00803456176072359,27.30089465622452,20.95037806528511,0.9752015253059575,0.9525770745036254,0.058213911950588226,0.015007207170128822,0.04781128838658333,0.0015046707121655345,0.009285920299589634,28.225585323203166,20.321750481732877,0.9786449642175056,0.9334712394161313,0.050205640494823456
gt-diagnostic-v2::rk2_n15_gt::synth_0000::seed_000,synth_0000,0,rk2_n15_gt,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0000/seed_000/img_0.jpg,True,,66dd7a5b0f6904940f11a352dd40751591a6ae6a0a0ee39aa7bed1d4f9943a3f,0.00910265650600195,0.06465110927820206,0.00022924516815692186,0.008093099109828472,36.39699809267105,20.918851411114574,0.9977501524830354,0.9549847080264621,0.012617003172636032,0.00866117887198925,0.030943404883146286,0.0001425338414264843,0.003714054822921753,38.46082010042194,24.30151689956315,0.9988973179493897,0.9716285376588695,0.00960872508585453
gt-diagnostic-v2::endpoint_auto::synth_0001::seed_000,synth_0001,0,endpoint_auto,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0001/seed_000/img_0.jpg,True,,7a28b54fc621200e336b68d84c635416a5d73520cda42e6988576a62a64851d9,0.02891179360449314,0.06793565303087234,0.00406615249812603,0.022183287888765335,23.908163374902372,16.539740846014702,0.9629046861877425,0.9191361987559016,0.10124452412128448,0.02945447899401188,0.04137125983834267,0.004138034302741289,0.011326114647090435,23.832059135181556,19.459190465990584,0.9631338145163505,0.9294227165722437,0.09121349453926086
gt-diagnostic-v2::endpoint_gt::synth_0001::seed_000,synth_0001,0,endpoint_gt,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0001/seed_000/img_0.jpg,True,,c80c7179ef80baf2bd434979457c68f09a98624241efd575092abaf8c7e60023,0.020115511491894722,0.07662446796894073,0.0012849551858380437,0.026415398344397545,28.911120185448524,15.781428357637413,0.9886293389237343,0.9005425667010734,0.07908555120229721,0.020285416394472122,0.04320497065782547,0.00123312184587121,0.012597121298313141,29.08994008258254,18.997286887789038,0.9894376380870281,0.9186276966472641,0.06627308577299118
gt-diagnostic-v2::rk2_auto::synth_0001::seed_000,synth_0001,0,rk2_auto,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0001/seed_000/img_0.jpg,True,,9b4e03dd61ad35904ef3cd0fb056ef06fb785a4a21b3162c1c84da52d0ca6be2,0.028276538476347923,0.06674444675445557,0.0038646149914711714,0.021712202578783035,24.128937657581275,16.6329611761925,0.9640492308690786,0.9202884724622352,0.10055768489837646,0.028790583834052086,0.040729884058237076,0.003938532434403896,0.01099112443625927,24.046655736998986,19.589578752305215,0.96423476244574,0.9305905936316254,0.09347060322761536
gt-diagnostic-v2::rk2_gt::synth_0001::seed_000,synth_0001,0,rk2_gt,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0001/seed_000/img_0.jpg,True,,1035a0508029360581ceb4046523a8c6edd4134fac423f362f543ae02dfbda97,0.020043592900037766,0.07577784359455109,0.0012664370005950332,0.02858217991888523,28.974164094853187,15.439046513099457,0.9888616125555452,0.8926002401726707,0.08144382387399673,0.020298810675740242,0.0420982763171196,0.0012283666292205453,0.013412576168775558,29.1067199045612,18.724877987009233,0.9895284980745761,0.9131791880360983,0.06644643843173981
gt-diagnostic-v2::rk2_n15_auto::synth_0001::seed_000,synth_0001,0,rk2_n15_auto,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0001/seed_000/img_0.jpg,True,,53668842a90f2679ab71bfa6fe0a0d4f675b27eaa2ba93b9617e27f41feac932,0.015084503218531609,0.05699249356985092,0.002297606784850359,0.019671626389026642,26.387242949609828,17.061597324761774,0.9782193320745061,0.9269387781182472,0.03788290172815323,0.01530479732900858,0.03143541142344475,0.0023418604396283627,0.00946202501654625,26.30438989752664,20.24015908059422,0.9782930075052186,0.9399736768456781,0.03487248718738556
gt-diagnostic-v2::rk2_n15_gt::synth_0001::seed_000,synth_0001,0,rk2_n15_gt,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0001/seed_000/img_0.jpg,True,,ae67dadba3bfcf4d18fe76873fd32bdce10dafcb0156954c1a17ad10e04fbfec,0.007145516108721495,0.07224063575267792,0.00011715029540937394,0.027551349252462387,39.3125661193685,15.598571278992866,0.999468560314601,0.8965867150582348,0.010100113227963448,0.007184978108853102,0.035023704171180725,0.00011130281200166792,0.012050558812916279,39.53493863325845,19.189928133597494,0.9995333555372389,0.9222221820963785,0.00528813386335969
gt-diagnostic-v2::endpoint_auto::synth_0002::seed_000,synth_0002,0,endpoint_auto,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0002/seed_000/img_0.jpg,True,,952019ca8fcf70fb336af427582c6e025912fbbc4da35bb3caab417c05a1fd5c,0.04339567571878433,0.1377025544643402,0.00945146381855011,0.048922184854745865,20.24500923862558,13.104941557001144,0.8763591300783641,0.7060338556785831,0.15350569784641266,0.04128052666783333,0.10259075462818146,0.008612873032689095,0.03395024314522743,20.64851954921175,14.691571110373104,0.8843397987038274,0.7697957229106691,0.13279679417610168
gt-diagnostic-v2::endpoint_gt::synth_0002::seed_000,synth_0002,0,endpoint_gt,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0002/seed_000/img_0.jpg,True,,183283f149133237bca2c022f13a76f1a4ea6233958f7b123a8d82f056440bb6,0.02349642477929592,0.12987330555915833,0.001606171252205968,0.04452041909098625,27.942081515087693,13.514407561062853,0.9810407328459998,0.725442803341488,0.07349319010972977,0.0232527032494545,0.07758183777332306,0.0015508596552535892,0.02317044883966446,28.0942750180388,16.350655533182884,0.9818209473282316,0.8335201263832888,0.06330017000436783
gt-diagnostic-v2::rk2_auto::synth_0002::seed_000,synth_0002,0,rk2_auto,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0002/seed_000/img_0.jpg,True,,0a5914f11a58221f18976d4aef1f08ff4439853f898665fe223b29e56d8611aa,0.04236002638936043,0.13156405091285706,0.009133337065577507,0.04698420688509941,20.39370514429269,13.280480998362375,0.8818059005314461,0.7186343569323119,0.14984481036663055,0.040196631103754044,0.09931554645299911,0.008211500011384487,0.03332353010773659,20.855775021786215,14.772489981084878,0.8912784529842966,0.7754333516858675,0.12926176190376282
