row_uid,case_uid,duration,method,method_label,part,edit,part_size,target_prompt,source_image,gt_mask,edited_image,outside_mask_lpips,strict_outside_mask_l1_aux,strict_inside_mask_l1_aux,strict_outside_mask_mse,strict_inside_mask_mse,strict_outside_mask_psnr,strict_inside_mask_psnr,strict_outside_mask_global_ssim,strict_inside_mask_global_ssim,strict_outside_mask_lpips,buffered_outside_mask_l1_aux,buffered_inside_mask_l1_aux,buffered_outside_mask_mse,buffered_inside_mask_mse,buffered_outside_mask_psnr,buffered_inside_mask_psnr,buffered_outside_mask_global_ssim,buffered_inside_mask_global_ssim,buffered_outside_mask_lpips
gt_prefix_diagnostic_v1::synth_0028::N00,synth_0028,0,residual_rk2,Residual RK2 prefix,head,dragon,small,A cow with dragon head at a restaurant,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/source.png,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/gt_mask.png,core/results/gt_prefix_diagnostic_v1/duration_00/synth_0028/seed_000/img_0.jpg,,0.1431601345539093,0.12175051867961884,0.037330396473407745,0.02915927767753601,14.279373975556446,15.352232383974673,0.6422659146502006,0.4135178939057311,0.6202290058135986,0.14026379585266113,0.18033893406391144,0.03548603504896164,0.06253454089164734,14.499425228432447,12.038800342557934,0.6550873672680125,0.4662041542745827,0.5924724340438843
gt_prefix_diagnostic_v1::synth_0028::N01,synth_0028,1,residual_rk2,Residual RK2 prefix,head,dragon,small,A cow with dragon head at a restaurant,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/source.png,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/gt_mask.png,core/results/gt_prefix_diagnostic_v1/duration_01/synth_0028/seed_000/img_0.jpg,,0.09075707197189331,0.11467345058917999,0.017493223771452904,0.025558482855558395,17.571301483750638,15.924649293483222,0.8194618226613813,0.3202445543231033,0.43572935461997986,0.0867459699511528,0.15724186599254608,0.015621348284184933,0.04765301197767258,18.062814847281675,13.219096439460696,0.8370996280369383,0.5548092220663869,0.41091644763946533
gt_prefix_diagnostic_v1::synth_0028::N02,synth_0028,2,residual_rk2,Residual RK2 prefix,head,dragon,small,A cow with dragon head at a restaurant,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/source.png,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/gt_mask.png,core/results/gt_prefix_diagnostic_v1/duration_02/synth_0028/seed_000/img_0.jpg,,0.06006775051355362,0.04516773670911789,0.0103218425065279,0.005262486170977354,19.862427717984914,22.78809032415395,0.8802604265459162,0.9102846564508844,0.24390529096126556,0.0594816580414772,0.06463271379470825,0.010044269263744354,0.013042856007814407,19.980816533674293,18.846273002740404,0.8803999474702219,0.8869398834465909,0.23618865013122559
gt_prefix_diagnostic_v1::synth_0028::N03,synth_0028,3,residual_rk2,Residual RK2 prefix,head,dragon,small,A cow with dragon head at a restaurant,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/source.png,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/gt_mask.png,core/results/gt_prefix_diagnostic_v1/duration_03/synth_0028/seed_000/img_0.jpg,,0.04126270115375519,0.044883858412504196,0.005071309860795736,0.004653828218579292,22.948798529262987,23.321896513672886,0.9408999163437967,0.9200291583076232,0.18544304370880127,0.040370479226112366,0.055575817823410034,0.004761155229061842,0.009577536955475807,23.22287658889698,20.18746163591478,0.9431188698842421,0.9172366779280268,0.1780419498682022
gt_prefix_diagnostic_v1::synth_0028::N04,synth_0028,4,residual_rk2,Residual RK2 prefix,head,dragon,small,A cow with dragon head at a restaurant,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/source.png,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/gt_mask.png,core/results/gt_prefix_diagnostic_v1/duration_04/synth_0028/seed_000/img_0.jpg,,0.03844645991921425,0.04298936948180199,0.0043805367313325405,0.004204744938760996,23.584726737025242,23.762603435160816,0.9488517216347077,0.9270984539424554,0.16643235087394714,0.03764508664608002,0.05166337266564369,0.004096775781363249,0.00856101792305708,23.875578045558584,20.674745937242925,0.9509706493239578,0.9263201198919998,0.15928536653518677
gt_prefix_diagnostic_v1::synth_0028::N05,synth_0028,5,residual_rk2,Residual RK2 prefix,head,dragon,small,A cow with dragon head at a restaurant,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/source.png,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/gt_mask.png,core/results/gt_prefix_diagnostic_v1/duration_05/synth_0028/seed_000/img_0.jpg,,0.03616185113787651,0.04165215045213699,0.0038820530753582716,0.004305151756852865,24.109385312408943,23.66011535034447,0.9545698797498432,0.925320740660617,0.15634816884994507,0.03603489324450493,0.03959132358431816,0.00383375003002584,0.004720501601696014,24.16376207608074,23.260118506722122,0.9536854128522114,0.9614549107714161,0.1506337672472
gt_prefix_diagnostic_v1::synth_0028::N06,synth_0028,6,residual_rk2,Residual RK2 prefix,head,dragon,small,A cow with dragon head at a restaurant,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/source.png,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/gt_mask.png,core/results/gt_prefix_diagnostic_v1/duration_06/synth_0028/seed_000/img_0.jpg,,0.032800041139125824,0.041295748203992844,0.003200825536623597,0.004252667538821697,24.94737996754505,23.713385678382643,0.9625194085207373,0.9246789493435166,0.14439690113067627,0.03254006430506706,0.03905348479747772,0.0031282154377549887,0.0045776073820889,25.047033450603063,23.393614591722695,0.9622116371594982,0.9621426514447944,0.13861654698848724
gt_prefix_diagnostic_v1::synth_0028::N07,synth_0028,7,residual_rk2,Residual RK2 prefix,head,dragon,small,A cow with dragon head at a restaurant,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/source.png,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/gt_mask.png,core/results/gt_prefix_diagnostic_v1/duration_07/synth_0028/seed_000/img_0.jpg,,0.029189052060246468,0.042177967727184296,0.002461155876517296,0.004503768403083086,26.08860879524539,23.46423950272405,0.9709783903015063,0.919320552176477,0.12214700877666473,0.028886208310723305,0.03733957186341286,0.002384838415309787,0.004170581232756376,26.225410412429998,23.798034153887606,0.9710017809692904,0.9652614539597003,0.11659225821495056
gt_prefix_diagnostic_v1::synth_0028::N08,synth_0028,8,residual_rk2,Residual RK2 prefix,head,dragon,small,A cow with dragon head at a restaurant,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/source.png,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/gt_mask.png,core/results/gt_prefix_diagnostic_v1/duration_08/synth_0028/seed_000/img_0.jpg,,0.025875546038150787,0.0415402390062809,0.0018908085767179728,0.004437308758497238,27.23352436402527,23.528803509890437,0.9779447142530374,0.9208215880890004,0.10764648765325546,0.025506621226668358,0.035760171711444855,0.0018047717167064548,0.0038861744105815887,27.43577723644538,24.104777122659783,0.9783273252450702,0.9676437980665424,0.10260320454835892
gt_prefix_diagnostic_v1::synth_0028::N09,synth_0028,9,residual_rk2,Residual RK2 prefix,head,dragon,small,A cow with dragon head at a restaurant,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/source.png,../gt-prefix-inputs/core/data/partedit_subset/cases/synth_0028/gt_mask.png,core/results/gt_prefix_diagnostic_v1/duration_09/synth_0028/seed_000/img_0.jpg,,0.021367549896240234,0.040044937282800674,0.0012305366108193994,0.004018879495561123,29.09905460676892,23.958950157530893,0.9859648370096058,0.9291261077320688,0.07763607800006866,0.02100110426545143,0.032058700919151306,0.001156961894594133,0.0031078471802175045,29.366809446264888,25.07540344575109,0.9864407400444895,0.9744851275771266,0.07363712787628174
