row_uid,case_uid,seed,method,part,edit,part_size,footprint_change,source_prompt,target_prompt,source_image,gt_mask,edited_image,scout_binary_mask,scout_soft_mask,mask_iou,mask_ap,mask_area_over_gt,strict_outside_mask_l1_aux,strict_inside_mask_l1_aux,strict_outside_mask_mse,strict_inside_mask_mse,strict_outside_mask_psnr,strict_inside_mask_psnr,strict_outside_mask_global_ssim,strict_inside_mask_global_ssim,buffered_outside_mask_l1_aux,buffered_inside_mask_l1_aux,buffered_outside_mask_mse,buffered_inside_mask_mse,buffered_outside_mask_psnr,buffered_inside_mask_psnr,buffered_outside_mask_global_ssim,buffered_inside_mask_global_ssim,strict_outside_mask_lpips,buffered_outside_mask_lpips,status
endpoint_projection::synth_0000::seed_000,synth_0000,0,endpoint_projection,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0000/source.png,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0000/gt_mask.png,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/endpoint_projection/synth_0000/seed_000/img_0.jpg,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0000/seed_000/tdm/hybrid_binary_tdm_attention.npy,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0000/seed_000/tdm/hybrid_smoothed_tdm_attention.npy,0.10854503464203233,0.38480565285874657,6.384615384615385,0.031055297702550888,0.07225107401609421,0.0032742060720920563,0.010598455555737019,24.848939904231475,19.747574170456268,0.9565192412246596,0.937840194554996,0.029938559979200363,0.06006019935011864,0.0028670646715909243,0.011815715581178665,25.42562510681593,19.275399715731638,0.9593721598772798,0.9162395788854639,0.17505061626434326,0.16433082520961761,evaluated
endpoint_projection::synth_0001::seed_000,synth_0001,0,endpoint_projection,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0001/source.png,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0001/gt_mask.png,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/endpoint_projection/synth_0001/seed_000/img_0.jpg,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0001/seed_000/tdm/hybrid_binary_tdm_attention.npy,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0001/seed_000/tdm/hybrid_smoothed_tdm_attention.npy,0.2193877551020408,0.3453973523097577,2.715025906735751,0.02891179360449314,0.06793565303087234,0.00406615249812603,0.022183287888765335,23.908163374902372,16.539740846014702,0.9629046861877425,0.9191361987559016,0.02945447899401188,0.04137125983834267,0.004138034302741289,0.011326114647090435,23.832059135181556,19.459190465990584,0.9631338145163505,0.9294227165722437,0.10124452412128448,0.09121349453926086,evaluated
endpoint_projection::synth_0002::seed_000,synth_0002,0,endpoint_projection,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0002/source.png,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0002/gt_mask.png,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/endpoint_projection/synth_0002/seed_000/img_0.jpg,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0002/seed_000/tdm/hybrid_binary_tdm_attention.npy,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0002/seed_000/tdm/hybrid_smoothed_tdm_attention.npy,0.20604395604395603,0.2584121534722655,2.027586206896552,0.04339567571878433,0.1377025544643402,0.00945146381855011,0.048922184854745865,20.24500923862558,13.104941557001144,0.8763591300783641,0.7060338556785831,0.04128052666783333,0.10259075462818146,0.008612873032689095,0.03395024314522743,20.64851954921175,14.691571110373104,0.8843397987038274,0.7697957229106691,0.15350569784641266,0.13279679417610168,evaluated
endpoint_projection::synth_0003::seed_000,synth_0003,0,endpoint_projection,head,robot,large,comparable,A alien at a museum,A alien with robot head at a museum,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0003/source.png,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0003/gt_mask.png,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/endpoint_projection/synth_0003/seed_000/img_0.jpg,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0003/seed_000/tdm/hybrid_binary_tdm_attention.npy,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0003/seed_000/tdm/hybrid_smoothed_tdm_attention.npy,0.30234657039711194,0.3528820457948123,1.8405511811023623,0.03583512082695961,0.0634017363190651,0.00429381150752306,0.007037666160613298,23.671570244175598,21.525713382456672,0.9409358632115788,0.9344482961437285,0.0366116426885128,0.048612020909786224,0.004509919788688421,0.0050776381976902485,23.45831182210684,22.9433824760262,0.934551178798119,0.9606117426493717,0.1991388499736786,0.1894502341747284,evaluated
endpoint_projection::synth_0004::seed_000,synth_0004,0,endpoint_projection,head,tattooed,medium,comparable,A robot at a office,A robot with tattooed head at a office,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0004/source.png,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0004/gt_mask.png,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/endpoint_projection/synth_0004/seed_000/img_0.jpg,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0004/seed_000/tdm/hybrid_binary_tdm_attention.npy,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0004/seed_000/tdm/hybrid_smoothed_tdm_attention.npy,0.4,0.66539547269541,1.5555555555555556,0.0271914042532444,0.13340875506401062,0.0029939834494143724,0.038315299898386,25.237506047437606,14.166277708196935,0.9699113556803259,0.7472470297614041,0.027435962110757828,0.06407348066568375,0.0029956484213471413,0.01614071987569332,25.235091581383088,17.920770996592186,0.9705699748319918,0.8181082846143463,0.08380033075809479,0.07573579251766205,evaluated
endpoint_projection::synth_0005::seed_000,synth_0005,0,endpoint_projection,head,robot,medium,comparable,A man at a gym,A man with robot head at a gym,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0005/source.png,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0005/gt_mask.png,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/endpoint_projection/synth_0005/seed_000/img_0.jpg,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0005/seed_000/tdm/hybrid_binary_tdm_attention.npy,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0005/seed_000/tdm/hybrid_smoothed_tdm_attention.npy,0.5161290322580645,0.8558523461151116,0.7407407407407407,0.024493712931871414,0.1177947074174881,0.0016048775287345052,0.02891465090215206,27.94558103834938,15.38882046735252,0.9829807810247282,0.29407039083236947,0.0238651055842638,0.06788241863250732,0.0013417406007647514,0.015032554045319557,28.72331438373925,18.229672260960097,0.9861724763806756,0.8076688609188608,0.12383181601762772,0.10362793505191803,evaluated
endpoint_projection::synth_0006::seed_000,synth_0006,0,endpoint_projection,head,robot,small,comparable,A girl at a beach,A girl with robot head at a beach,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0006/source.png,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0006/gt_mask.png,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/endpoint_projection/synth_0006/seed_000/img_0.jpg,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0006/seed_000/tdm/hybrid_binary_tdm_attention.npy,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0006/seed_000/tdm/hybrid_smoothed_tdm_attention.npy,0.1037037037037037,0.15802134568442508,2.0408163265306123,0.020932139828801155,0.03833860531449318,0.0022184920962899923,0.006708516739308834,26.53942114183738,21.733734922217266,0.9604092490055226,0.8908548433029114,0.018516255542635918,0.05656880885362625,0.0017304536886513233,0.009734057821333408,27.618400190409382,20.117060783296754,0.966508032376858,0.9077024837523221,0.1469600647687912,0.13439878821372986,evaluated
endpoint_projection::synth_0007::seed_000,synth_0007,0,endpoint_projection,head,robot,medium,comparable,A alien at a school,A alien with robot head at a school,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0007/source.png,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0007/gt_mask.png,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/endpoint_projection/synth_0007/seed_000/img_0.jpg,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0007/seed_000/tdm/hybrid_binary_tdm_attention.npy,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0007/seed_000/tdm/hybrid_smoothed_tdm_attention.npy,0.13247863247863248,0.24301989254739356,2.533333333333333,0.03253515437245369,0.05060415342450142,0.003817346878349781,0.005560541059821844,24.182383743688447,22.5488294801102,0.9735686105424094,0.9645875839025077,0.03293415531516075,0.03801288455724716,0.003935430198907852,0.003743679728358984,24.050077861004272,24.26701312219162,0.9731323253156168,0.9726520283611476,0.10873550176620483,0.10337956994771957,evaluated
endpoint_projection::synth_0008::seed_000,synth_0008,0,endpoint_projection,head,alien,small,comparable,A robot at a park,A robot with alien head at a park,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0008/source.png,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0008/gt_mask.png,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/endpoint_projection/synth_0008/seed_000/img_0.jpg,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0008/seed_000/tdm/hybrid_binary_tdm_attention.npy,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0008/seed_000/tdm/hybrid_smoothed_tdm_attention.npy,0.30337078651685395,0.5338196731275998,1.4166666666666667,0.028859153389930725,0.12508560717105865,0.0031952729914337397,0.04812924191355705,24.954920315248156,13.17590978866,0.9773286329071831,0.5944108730606481,0.028845807537436485,0.060229308903217316,0.0032191427890211344,0.017454588785767555,24.922597592234837,17.58090378312174,0.9774165291048292,0.8155919468704922,0.12428031861782074,0.11971542239189148,evaluated
endpoint_projection::synth_0009::seed_000,synth_0009,0,endpoint_projection,head,bear,large,comparable,A alien at a museum,A alien with bear head at a museum,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0009/source.png,/autodl-fs/data/heldout-control-run/core/data/partedit_subset/cases/synth_0009/gt_mask.png,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/endpoint_projection/synth_0009/seed_000/img_0.jpg,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0009/seed_000/tdm/hybrid_binary_tdm_attention.npy,/autodl-fs/data/heldout-control-run/core/results/heldout_control_comparison/attention_mask_scout/synth_0009/seed_000/tdm/hybrid_smoothed_tdm_attention.npy,0.3172690763052209,0.49814862338379357,1.6958904109589041,0.02326664887368679,0.057729318737983704,0.0012767325388267636,0.007435905281454325,28.93900073040106,21.286661509070935,0.9854787225552569,0.9601327464962351,0.02286550961434841,0.042891450226306915,0.001137539860792458,0.005107619799673557,29.440333761926958,22.91781438160617,0.986979120127687,0.9642886204819597,0.08445407450199127,0.07265637069940567,evaluated
